timestamp,agent,market,predicted,actual,current_price,squared_error,naive_se,direction_correct,methodology_version,horizon
1774904402.0,historian,regime_fall,0.169453,0.125,0.165,0.00197607,0.0016,False,1.11.0,24h
1774904402.0,naive_baseline,regime_fall,0.165,0.125,0.165,0.0016,0.0016,False,N/A,24h
1774936510.0,historian,regime_fall,0.180775,0.115,0.165,0.00432635,0.0025,False,1.11.0,24h
1774936510.0,naive_baseline,regime_fall,0.165,0.115,0.165,0.0025,0.0025,False,N/A,24h
1773950746.0,game_theorist,regime_fall,0.280274,0.265,0.275,0.0002333,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1774748575.0,game_theorist,regime_fall,0.2052,0.185,0.195,0.00040804,0.0001,False,1.6.0,24h
1774748575.0,naive_baseline,regime_fall,0.195,0.185,0.195,0.0001,0.0001,False,N/A,24h
1774754210.0,game_theorist,regime_fall,0.202236,0.185,0.195,0.00029708,0.0001,False,1.7.0,24h
1774754210.0,naive_baseline,regime_fall,0.195,0.185,0.195,0.0001,0.0001,False,N/A,24h
1774763481.0,game_theorist,regime_fall,0.185102,0.185,0.185,1e-08,0.0,False,1.9.0,24h
1774763481.0,naive_baseline,regime_fall,0.185,0.185,0.185,0.0,0.0,False,N/A,24h
1774774536.0,game_theorist,regime_fall,0.22055,0.185,0.185,0.0012638,0.0,False,1.10.0,24h
1774774536.0,naive_baseline,regime_fall,0.185,0.185,0.185,0.0,0.0,False,N/A,24h
1774790776.0,game_theorist,regime_fall,0.2217,0.165,0.195,0.00321489,0.0009,False,1.10.0,24h
1774790776.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774802912.0,game_theorist,regime_fall,0.228075,0.165,0.195,0.00397846,0.0009,False,1.10.0,24h
1774802912.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774817162.0,game_theorist,regime_fall,0.21915,0.165,0.195,0.00293222,0.0009,False,1.10.0,24h
1774817162.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774840661.0,game_theorist,regime_fall,0.1967,0.165,0.185,0.00100489,0.0004,False,1.10.0,24h
1774840661.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774851107.0,game_theorist,regime_fall,0.228695,0.165,0.185,0.00405705,0.0004,False,1.10.0,24h
1774851107.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774862789.0,game_theorist,regime_fall,0.17,0.165,0.185,2.5e-05,0.0004,True,1.11.0,24h
1774862789.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774879449.0,game_theorist,regime_fall,0.9705,0.165,0.165,0.64883025,0.0,False,1.11.0,24h
1774879449.0,naive_baseline,regime_fall,0.165,0.165,0.165,0.0,0.0,False,N/A,24h
1774890624.0,game_theorist,regime_fall,0.971625,0.145,0.165,0.68330889,0.0004,False,1.11.0,24h
1774890624.0,naive_baseline,regime_fall,0.165,0.145,0.165,0.0004,0.0004,False,N/A,24h
1774904402.0,game_theorist,regime_fall,0.4842,0.125,0.165,0.12902464,0.0016,False,1.11.0,24h
1774904402.0,naive_baseline,regime_fall,0.165,0.125,0.165,0.0016,0.0016,False,N/A,24h
1774936510.0,game_theorist,regime_fall,0.555,0.115,0.165,0.1936,0.0025,False,1.11.0,24h
1774936510.0,naive_baseline,regime_fall,0.165,0.115,0.165,0.0025,0.0025,False,N/A,24h
1773950746.0,quant,regime_fall,0.275204,0.265,0.275,0.00010412,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1774748576.0,quant,regime_fall,0.213852,0.185,0.195,0.00083244,0.0001,False,1.6.0,24h
1774748576.0,naive_baseline,regime_fall,0.195,0.185,0.195,0.0001,0.0001,False,N/A,24h
1774754210.0,quant,regime_fall,0.198979,0.185,0.195,0.00019541,0.0001,False,1.7.0,24h
1774754210.0,naive_baseline,regime_fall,0.195,0.185,0.195,0.0001,0.0001,False,N/A,24h
1774763481.0,quant,regime_fall,0.185591,0.185,0.185,3.5e-07,0.0,False,1.9.0,24h
1774763481.0,naive_baseline,regime_fall,0.185,0.185,0.185,0.0,0.0,False,N/A,24h
1774774536.0,quant,regime_fall,0.185055,0.185,0.185,0.0,0.0,False,1.10.0,24h
1774774536.0,naive_baseline,regime_fall,0.185,0.185,0.185,0.0,0.0,False,N/A,24h
1774790776.0,quant,regime_fall,0.195044,0.165,0.195,0.00090264,0.0009,False,1.10.0,24h
1774790776.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774802912.0,quant,regime_fall,0.195041,0.165,0.195,0.00090246,0.0009,False,1.10.0,24h
1774802912.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774817163.0,quant,regime_fall,0.195039,0.165,0.195,0.00090234,0.0009,False,1.10.0,24h
1774817163.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774840661.0,quant,regime_fall,0.185044,0.165,0.185,0.00040176,0.0004,False,1.10.0,24h
1774840661.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774851107.0,quant,regime_fall,0.185039,0.165,0.185,0.00040156,0.0004,False,1.10.0,24h
1774851107.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774862790.0,quant,regime_fall,0.185004,0.165,0.185,0.00040016,0.0004,False,1.11.0,24h
1774862790.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774879449.0,quant,regime_fall,0.165005,0.165,0.165,0.0,0.0,False,1.11.0,24h
1774879449.0,naive_baseline,regime_fall,0.165,0.165,0.165,0.0,0.0,False,N/A,24h
1774890624.0,quant,regime_fall,0.165004,0.145,0.165,0.00040016,0.0004,False,1.11.0,24h
1774890624.0,naive_baseline,regime_fall,0.165,0.145,0.165,0.0004,0.0004,False,N/A,24h
1774904402.0,quant,regime_fall,0.165004,0.125,0.165,0.00160032,0.0016,False,1.11.0,24h
1774904402.0,naive_baseline,regime_fall,0.165,0.125,0.165,0.0016,0.0016,False,N/A,24h
1774936510.0,quant,regime_fall,0.165003,0.115,0.165,0.0025003,0.0025,False,1.11.0,24h
