timestamp,regime_fall
1772287237,0.46
1772294423,0.435
1772301624,0.465
1772308822,0.555
1772316027,0.55
1772323220,0.485
1772330423,0.58
1772337623,0.53
1772344819,0.515
1772352021,0.49
1772359222,0.475
1772366423,0.44
1772373623,0.395
1772380823,0.44
1772388021,0.415
1772395221,0.425
1772402422,0.455
1772409633,0.465
1772416820,0.445
1772424019,0.415
1772431218,0.415
1772438418,0.415
1772445618,0.415
1772452820,0.415
1772460020,0.4
1772467220,0.415
1772474423,0.385
1772481620,0.355
1772488821,0.365
1772496020,0.365
1772503233,0.365
1772510419,0.355
1772517618,0.345
1772524819,0.345
1772532020,0.355
1772539219,0.375
1772546420,0.385
1772553622,0.415
1772560824,0.375
1772568023,0.365
1772575220,0.385
1772582422,0.395
1772589623,0.405
1772596823,0.425
1772604022,0.415
1772611220,0.385
1772618423,0.385
1772625621,0.395
1772632824,0.385
1772640024,0.395
1772647222,0.395
1772654423,0.385
1772661622,0.395
1772668821,0.385
1772676023,0.385
1772683218,0.385
1772690417,0.385
1772697617,0.375
1772704835,0.385
1772712022,0.375
1772719218,0.375
1772726419,0.385
1772733619,0.385
1772740830,0.385
1772748019,0.375
1772755220,0.385
1772762421,0.375
1772769621,0.375
1772776819,0.375
1772784018,0.375
1772791221,0.385
1772798419,0.385
1772805623,0.375
1772812824,0.355
1772820020,0.345
1772827219,0.355
1772834419,0.355
1772841623,0.345
1772848819,0.345
1772856019,0.325
1772863219,0.325
1772870417,0.325
1772877618,0.325
1772884818,0.335
1772892021,0.335
1772899218,0.335
1772906419,0.325
1772913620,0.325
1772920820,0.325
1772928021,0.325
1772935220,0.315
1772942421,0.315
1772949621,0.325
1772956819,0.325
1772964018,0.325
1772971218,0.335
1772978417,0.335
1772985617,0.325
1772992819,0.325
1773000018,0.325
1773007216,0.325
1773014416,0.325
1773021617,0.315
1773028818,0.315
1773036015,0.315
1773043216,0.315
1773050416,0.315
1773057614,0.315
1773064814,0.305
1773072015,0.29
1773079217,0.275
1773086417,0.235
1773087078,0.255
1773087111,0.255
1773090064,0.255
1773099149,0.255
1773100819,0.255
1773100952,0.255
1773101007,0.255
1773159537,0.215
1773173135,0.235
1773187531,0.235
1773201936,0.235
1773216337,0.225
1773230737,0.225
1773245130,0.225
1773259532,0.225
1773273931,0.235
1773288335,0.225
1773302743,0.225
1773317141,0.215
1773331530,0.215
1773345940,0.225
1773360337,0.225
1773374727,0.235
1773389143,0.235
1773403529,0.245
1773417944,0.245
1773432325,0.245
1773446728,0.255
1773461124,0.255
1773475531,0.255
1773489927,0.255
1773504328,0.265
1773518726,0.265
1773533149,0.265
1773547535,0.265
1773561935,0.295
1773576333,0.285
1773590735,0.295
1773605131,0.285
1773619542,0.285
1773633932,0.285
1773648331,0.285
1773662744,0.285
1773677185,0.285
1773691540,0.285
1773705940,0.265
1773720352,0.265
1773734741,0.265
1773749131,0.295
1773763535,0.305
1773777932,0.295
1773792340,0.295
1773806735,0.285
1773821130,0.295
1773835539,0.285
1773849944,0.285
1773864344,0.285
1773878741,0.285
1773893135,0.275
1773907551,0.275
1773921941,0.275
1773936338,0.275
1773950745,0.275
1773965128,0.265
